Previous Rank,Weeks on List,ISBN,Price,Author,Title,Rank,List,Week
,,9780385754729,12.99,Markus Zusak,The Book Thief,10,Young Adult,2/28/2018
,,9781101939499,17.99,Nic Stone,Dear Martin,11,Young Adult,2/28/2018
,,9780142424179,12.99,John Green,The Fault in Our Stars,12,Young Adult,2/28/2018
,,9780399547966,18.99,Marie Lu,Warcross,13,Young Adult,2/28/2018
,,9780316310277,18.99,Holly Black,The Cruel Prince,14,Young Adult,2/28/2018
,,9780553496680,18.99,Nicola Yoon,The Sun Is Also a Star,15,Young Adult,2/28/2018
,,9781250153272,8.99,Madeleine L'Engle,A Wrinkle in Time,1,Early & Middle,2/7/2018
,,9781524720193,16.99,R.J. Palacio,Wonder,2,Early & Middle,2/7/2018
,,9781616205676,16.95,Kelly Barnhill,The Girl Who Drank the Moon,3,Early & Middle,2/7/2018
,,9780316475112,16.99,Vashti Harrison,Little Leaders: Bold Women in Black History,4,Early & Middle,2/7/2018
,,9780147510488,8.99,Kimberly Brubaker Bradley,The War That Saved My Life,5,Early & Middle,2/7/2018
,,9781101934852,16.99,R.J. Palacio,Auggie & Me,6,Early & Middle,2/7/2018
,,9780545540605,10.99,Raina Telgemeier,Sisters,7,Early & Middle,2/7/2018
,,9780545132060,10.99,Raina Telgemeier,Smile,8,Early & Middle,2/7/2018
,,9780525429999,12.99,Victoria Jamieson,All's Faire in Middle School,9,Early & Middle,2/7/2018
,,9780525429203,16.99,Kimberly Brubaker Bradley,The War I Finally Won,10,Early & Middle,2/7/2018
,,9780545326995,10.99,Raina Telgemeier,Drama,11,Early & Middle,2/7/2018
,,9781250043221,16.99,Katherine Applegate,Wishtree,12,Early & Middle,2/7/2018
,,9780316514392,21.99,Pete Souza,Dream Big Dreams: Photographs from Barack Obama's Inspiring and Historic Presidency,13,Early & Middle,2/7/2018
,,9780061992278,7.99,Katherine Applegate,The One and Only Ivan,14,Early & Middle,2/7/2018
,,9781481486293,9.99,Gary Paulsen,Hatchet,15,Early & Middle,2/7/2018
2,5,9780062678416,26.99,A.J. Finn,The Woman in the Window,1,Hardcover Fiction,2/7/2018
1,4,9780735213180,26,Chloe Benjamin,The Immortalists,2,Hardcover Fiction,2/7/2018
3,74,9780670026197,27,Amor Towles,A Gentleman in Moscow,3,Hardcover Fiction,2/7/2018
5,18,9781501126062,26,Jesmyn Ward,"Sing, Unburied, Sing",4,Hardcover Fiction,2/7/2018
4,21,9780735224292,27,Celeste Ng,Little Fires Everywhere,5,Hardcover Fiction,2/7/2018
,1,9780399562457,27,Jojo Moyes,Still Me,6,Hardcover Fiction,2/7/2018
6,18,9780385514231,29.95,Dan Brown,Origin,7,Hardcover Fiction,2/7/2018
10,4,9781250130921,26.99,Greer Hendricks,The Wife Between Us,8,Hardcover Fiction,2/7/2018
9,5,9780316547611,26,Naomi Alderman,The Power,9,Hardcover Fiction,2/7/2018
8,18,9781476716732,27,Jennifer Egan,Manhattan Beach,10,Hardcover Fiction,2/7/2018
7,12,9780553448122,27,Andy Weir,Artemis,11,Hardcover Fiction,2/7/2018
12,3,9780812988635,27,Denis Johnson,The Largesse of the Sea Maiden,12,Hardcover Fiction,2/7/2018
11,15,9780385541176,28.95,John Grisham,The Rooster Bar,13,Hardcover Fiction,2/7/2018
,1,9780345539991,26,Alan Bradley,The Grave's a Fine and Private Place,14,Hardcover Fiction,2/7/2018
13,40,9780812995343,28,George Saunders,Lincoln in the Bardo,15,Hardcover Fiction,2/7/2018
1,5,9781250158062,30,Michael Wolff,Fire and Fury,1,Hardcover Nonfiction,2/7/2018
2,40,9780393609394,18.95,Neil deGrasse Tyson,Astrophysics for People in a Hurry,2,Hardcover Nonfiction,2/7/2018
3,44,9780062457714,24.99,Mark Manson,The Subtle Art of Not Giving A F*ck,3,Hardcover Nonfiction,2/7/2018
4,16,9781501139154,35,Walter Isaacson,Leonardo da Vinci,4,Hardcover Nonfiction,2/7/2018
15,31,9780385534246,28.95,David Grann,Killers of the Flower Moon,5,Hardcover Nonfiction,2/7/2018
10,4,9780735210622,28,Daniel H. Pink,When,6,Hardcover Nonfiction,2/7/2018
,1,9781101947319,28.95,Dave Eggers,The Monk of Mokha,7,Hardcover Nonfiction,2/7/2018
5,6,9781501181825,26,Tiffany Haddish,The Last Black Unicorn,8,Hardcover Nonfiction,2/7/2018
9,11,9781501124020,30,Ray Dalio,Principles,9,Hardcover Nonfiction,2/7/2018
6,75,9780062300546,27.99,J.D. Vance,Hillbilly Elegy,10,Hardcover Nonfiction,2/7/2018
7,2,9781524762933,26,Steven Levitsky,How Democracies Die,11,Hardcover Nonfiction,2/7/2018
12,8,9781631494758,15.95,Mary Beard,Women & Power,12,Hardcover Nonfiction,2/7/2018
8,46,9780399185045,26,The Dalai Lama,The Book of Joy,13,Hardcover Nonfiction,2/7/2018
11,3,9781501173240,18.99,Margareta Magnusson,The Gentle Art of Swedish Death Cleaning,14,Hardcover Nonfiction,2/7/2018
13,17,9781594204876,40,Ron Chernow,Grant,15,Hardcover Nonfiction,2/7/2018
1,5,9780399593598,9.99,Lee Child,No Middle Name,1,Mass Market,2/7/2018
2,30,9781101967683,9.99,John Grisham,The Whistler,2,Mass Market,2/7/2018
3,10,9780062473363,9.99,Michael Crichton,Dragon Teeth,3,Mass Market,2/7/2018
5,6,9781478944782,9.99,James Patterson,Never Never,4,Mass Market,2/7/2018
4,6,9781501179952,9.99,Doug Stanton,12 Strong,5,Mass Market,2/7/2018
